Date,GALP-TUICIDES,GALP-EL VISO,GALP-HERMANN,CARREFOUR,BP CAMINO SUAREZ,PETROPRIX-LICURGO,SHELL
27/03/2022,1.809,1.829,1.809,1.829,1.859,1.819,
28/03/2022,1.824,1.824,1.809,1.849,1.859,1.819,
29/03/2022,1.829,1.879,1.809,1.849,1.889,1.819,
30/03/2022,1.774,1.864,1.809,1.799,1.879,1.819,
31/03/2022,1.769,1.819,1.809,1.789,1.829,1.789,
01/04/2022,1.769,1.814,1.764,1.789,1.829,1.779,
02/04/2022,1.764,1.814,1.764,1.789,1.829,1.759,
03/04/2022,1.764,1.814,1.764,1.789,1.829,1.759,
04/04/2022,1.764,1.814,1.764,1.789,1.829,1.759,
05/04/2022,1.764,1.814,1.764,1.799,1.829,1.759,
06/04/2022,1.769,1.814,1.764,1.799,1.829,1.759,
07/04/2022,1.774,1.814,1.764,1.799,1.829,1.759,
08/04/2022,1.764,1.814,1.764,1.789,1.819,1.759,
09/04/2022,1.744,1.804,1.764,1.789,1.809,1.759,
10/04/2022,1.749,1.804,1.754,1.789,1.809,1.739,
11/04/2022,1.754,1.804,1.754,1.779,1.809,1.739,
12/04/2022,1.764,1.794,1.744,1.779,1.809,1.719,
13/04/2022,1.754,1.794,1.744,1.779,1.809,1.719,
14/04/2022,1.754,1.794,1.744,1.779,1.819,1.719,
15/04/2022,1.754,1.794,1.744,1.779,1.829,1.719,
16/04/2022,1.754,1.794,1.744,1.809,1.859,1.719,
17/04/2022,1.784,1.794,1.744,1.809,1.859,1.719,
18/04/2022,1.784,1.844,1.764,1.819,1.859,1.719,
19/04/2022,1.784,1.844,1.764,1.829,1.859,1.739,
20/04/2022,1.804,1.834,1.774,1.829,1.849,1.749,
21/04/2022,1.804,1.844,1.774,1.849,1.859,1.769,
22/04/2022,1.804,1.844,1.774,1.849,1.869,1.769,
23/04/2022,1.824,1.854,1.809,1.849,1.869,1.769,
24/04/2022,1.824,1.854,1.809,1.849,1.869,1.769,
25/04/2022,1.824,1.854,1.809,1.849,1.869,1.769,
26/04/2022,1.824,1.854,1.809,1.869,1.869,1.769,
27/04/2022,1.819,1.864,1.809,1.839,1.869,1.769,
28/04/2022,1.844,1.879,1.809,1.859,1.869,1.769,
29/04/2022,1.839,1.854,1.809,1.879,1.889,1.769,
30/04/2022,1.859,1.874,1.809,1.879,1.909,1.789,
01/05/2022,1.859,1.874,1.809,1.879,1.909,1.789,
02/05/2022,1.864,1.879,1.809,1.879,1.909,1.789,
03/05/2022,1.884,1.879,1.809,1.919,1.909,1.789,
04/05/2022,1.814,1.874,1.819,1.929,1.929,1.799,
05/05/2022,1.849,1.874,1.839,1.919,1.929,1.799,
06/05/2022,1.849,1.874,1.839,1.919,1.929,1.819,
07/05/2022,1.879,1.929,1.839,1.909,1.949,1.819,
08/05/2022,1.874,1.924,1.839,1.909,1.949,1.819,
09/05/2022,1.874,1.934,1.869,1.919,1.949,1.819,
10/05/2022,1.879,1.939,1.869,1.909,1.959,1.829,
11/05/2022,1.859,1.934,1.869,1.909,1.969,1.829,
12/05/2022,1.869,1.944,1.859,1.909,1.959,1.839,
13/05/2022,1.899,1.944,1.859,1.909,1.949,1.839,
14/05/2022,1.899,1.944,1.859,1.909,1.949,1.849,
15/05/2022,1.899,1.964,1.889,1.909,1.969,1.849,
16/05/2022,1.939,1.964,1.889,1.909,1.969,1.849,
17/05/2022,1.959,1.979,1.909,1.959,1.969,1.869,
18/05/2022,1.959,1.989,1.909,1.969,2.019,1.869,
19/05/2022,1.954,2.009,1.919,1.969,2.019,1.839,
20/05/2022,1.909,2.009,1.909,1.969,2.019,1.849,
21/05/2022,1.919,2.009,1.909,1.969,2.019,1.849,
22/05/2022,1.914,2.009,1.909,1.969,2.019,1.849,
23/05/2022,1.914,2.014,1.909,1.999,2.019,1.849,1.849
24/05/2022,1.899,2.019,1.909,1.999,2.019,1.849,1.849
25/05/2022,1.889,2.019,1.899,1.999,2.019,1.839,1.849
26/05/2022,1.944,2.019,1.899,1.999,2.019,1.839,1.849
27/05/2022,1.959,2.019,1.909,2.009,2.029,1.839,1.849
28/05/2022,1.974,2.019,1.919,2.009,2.069,1.839,1.849
29/05/2022,1.974,2.019,1.919,2.009,2.069,1.839,1.849
